#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.000106758
 1.500000000	 0.000213516
 2.500000000	 0.000320273
 3.500000000	 0.000533789
 4.500000000	 0.000854062
 5.500000000	 0.000640547
 6.500000000	 0.000533789
 7.500000000	 0.000320273
 8.500000000	 0.000640547
 9.500000000	 0.000854062
 10.500000000	 0.000213516
 11.500000000	 0.000854062
 12.500000000	 0.000533789
 13.500000000	 0.000854062
 14.500000000	 0.000960820
 15.500000000	 0.000747304
 16.500000000	 0.000854062
 17.500000000	 0.001174335
 18.500000000	 0.000320273
 19.500000000	 0.001174335
 20.500000000	 0.001387851
 21.500000000	 0.001174335
 22.500000000	 0.001281093
 23.500000000	 0.000320273
 24.500000000	 0.000854062
 25.500000000	 0.000640547
 26.500000000	 0.001174335
 27.500000000	 0.001921640
 28.500000000	 0.000960820
 29.500000000	 0.001281093
 30.500000000	 0.001067578
 31.500000000	 0.001494609
 32.500000000	 0.001067578
 33.500000000	 0.001601366
 34.500000000	 0.000533789
 35.500000000	 0.001387851
 36.500000000	 0.000640547
 37.500000000	 0.000960820
 38.500000000	 0.001387851
 39.500000000	 0.001601366
 40.500000000	 0.001494609
 41.500000000	 0.001921640
 42.500000000	 0.001494609
 43.500000000	 0.001601366
 44.500000000	 0.001494609
 45.500000000	 0.001067578
 46.500000000	 0.001387851
 47.500000000	 0.001921640
 48.500000000	 0.002028398
 49.500000000	 0.002028398
 50.500000000	 0.000960820
 51.500000000	 0.001814882
 52.500000000	 0.002775702
 53.500000000	 0.002028398
 54.500000000	 0.002562186
 55.500000000	 0.002241913
 56.500000000	 0.002135155
 57.500000000	 0.002668944
 58.500000000	 0.003309491
 59.500000000	 0.002775702
 60.500000000	 0.002455429
 61.500000000	 0.002775702
 62.500000000	 0.002562186
 63.500000000	 0.002775702
 64.500000000	 0.002135155
 65.500000000	 0.002348671
 66.500000000	 0.002775702
 67.500000000	 0.003843280
 68.500000000	 0.002562186
 69.500000000	 0.002135155
 70.500000000	 0.001708124
 71.500000000	 0.003095975
 72.500000000	 0.002989217
 73.500000000	 0.003523006
 74.500000000	 0.004910857
 75.500000000	 0.004804099
 76.500000000	 0.002455429
 77.500000000	 0.002028398
 78.500000000	 0.004377068
 79.500000000	 0.002562186
 80.500000000	 0.002562186
 81.500000000	 0.004377068
 82.500000000	 0.002882460
 83.500000000	 0.004163553
 84.500000000	 0.003309491
 85.500000000	 0.003736522
 86.500000000	 0.002989217
 87.500000000	 0.004377068
 88.500000000	 0.004590584
 89.500000000	 0.004697342
 90.500000000	 0.004483826
 91.500000000	 0.004483826
 92.500000000	 0.004163553
 93.500000000	 0.004163553
 94.500000000	 0.004163553
 95.500000000	 0.003950037
 96.500000000	 0.004590584
 97.500000000	 0.005444646
 98.500000000	 0.004270311
 99.500000000	 0.005551404
 100.500000000	 0.004590584
 101.500000000	 0.004697342
 102.500000000	 0.004910857
 103.500000000	 0.006512224
 104.500000000	 0.005764919
 105.500000000	 0.004804099
 106.500000000	 0.004377068
 107.500000000	 0.006725739
 108.500000000	 0.005444646
 109.500000000	 0.006191950
 110.500000000	 0.005124373
 111.500000000	 0.008006832
 112.500000000	 0.005978435
 113.500000000	 0.005231131
 114.500000000	 0.006191950
 115.500000000	 0.006512224
 116.500000000	 0.005764919
 117.500000000	 0.007366286
 118.500000000	 0.007793317
 119.500000000	 0.006298708
 120.500000000	 0.008220348
 121.500000000	 0.006405466
 122.500000000	 0.005978435
 123.500000000	 0.006832497
 124.500000000	 0.007366286
 125.500000000	 0.008006832
 126.500000000	 0.007686559
 127.500000000	 0.007473044
 128.500000000	 0.007686559
 129.500000000	 0.007259528
 130.500000000	 0.006832497
 131.500000000	 0.006405466
 132.500000000	 0.006939255
 133.500000000	 0.008006832
 134.500000000	 0.008113590
 135.500000000	 0.006939255
 136.500000000	 0.007366286
 137.500000000	 0.006405466
 138.500000000	 0.007793317
 139.500000000	 0.007686559
 140.500000000	 0.008113590
 141.500000000	 0.007152770
 142.500000000	 0.007046013
 143.500000000	 0.007793317
 144.500000000	 0.007579801
 145.500000000	 0.008006832
 146.500000000	 0.007793317
 147.500000000	 0.007793317
 148.500000000	 0.006512224
 149.500000000	 0.008540621
 150.500000000	 0.007366286
 151.500000000	 0.007473044
 152.500000000	 0.007579801
 153.500000000	 0.008647379
 154.500000000	 0.008540621
 155.500000000	 0.006298708
 156.500000000	 0.007046013
 157.500000000	 0.009074410
 158.500000000	 0.007473044
 159.500000000	 0.007686559
 160.500000000	 0.007366286
