#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.000106758
 1.500000000	 0.000106758
 2.500000000	 0.000320273
 3.500000000	 0.000320273
 4.500000000	 0.000427031
 5.500000000	 0.000533789
 6.500000000	 0.000106758
 7.500000000	 0.000854062
 8.500000000	 0.000747304
 9.500000000	 0.000640547
 10.500000000	 0.000213516
 11.500000000	 0.000427031
 12.500000000	 0.000640547
 13.500000000	 0.000747304
 14.500000000	 0.000747304
 15.500000000	 0.000640547
 16.500000000	 0.000427031
 17.500000000	 0.001174335
 18.500000000	 0.000533789
 19.500000000	 0.000533789
 20.500000000	 0.000960820
 21.500000000	 0.000747304
 22.500000000	 0.000960820
 23.500000000	 0.000106758
 24.500000000	 0.000213516
 25.500000000	 0.000854062
 26.500000000	 0.000533789
 27.500000000	 0.000854062
 28.500000000	 0.000960820
 29.500000000	 0.000640547
 30.500000000	 0.001387851
 31.500000000	 0.001174335
 32.500000000	 0.000854062
 33.500000000	 0.000747304
 34.500000000	 0.000854062
 35.500000000	 0.000747304
 36.500000000	 0.000960820
 37.500000000	 0.000640547
 38.500000000	 0.001494609
 39.500000000	 0.001494609
 40.500000000	 0.000854062
 41.500000000	 0.001494609
 42.500000000	 0.001387851
 43.500000000	 0.000960820
 44.500000000	 0.001494609
 45.500000000	 0.001494609
 46.500000000	 0.001387851
 47.500000000	 0.001174335
 48.500000000	 0.001281093
 49.500000000	 0.000747304
 50.500000000	 0.001814882
 51.500000000	 0.000960820
 52.500000000	 0.001174335
 53.500000000	 0.001387851
 54.500000000	 0.002455429
 55.500000000	 0.001387851
 56.500000000	 0.001174335
 57.500000000	 0.001921640
 58.500000000	 0.000960820
 59.500000000	 0.001601366
 60.500000000	 0.000854062
 61.500000000	 0.002028398
 62.500000000	 0.001601366
 63.500000000	 0.001708124
 64.500000000	 0.001708124
 65.500000000	 0.001281093
 66.500000000	 0.002028398
 67.500000000	 0.001174335
 68.500000000	 0.002241913
 69.500000000	 0.002135155
 70.500000000	 0.002241913
 71.500000000	 0.002668944
 72.500000000	 0.002989217
 73.500000000	 0.002135155
 74.500000000	 0.002455429
 75.500000000	 0.002028398
 76.500000000	 0.002989217
 77.500000000	 0.002028398
 78.500000000	 0.001708124
 79.500000000	 0.002135155
 80.500000000	 0.002455429
 81.500000000	 0.002562186
 82.500000000	 0.002455429
 83.500000000	 0.002989217
 84.500000000	 0.002668944
 85.500000000	 0.003523006
 86.500000000	 0.002348671
 87.500000000	 0.002455429
 88.500000000	 0.002882460
 89.500000000	 0.002348671
 90.500000000	 0.002562186
 91.500000000	 0.003629764
 92.500000000	 0.003309491
 93.500000000	 0.004056795
 94.500000000	 0.001814882
 95.500000000	 0.003416249
 96.500000000	 0.002882460
 97.500000000	 0.002348671
 98.500000000	 0.002989217
 99.500000000	 0.004056795
 100.500000000	 0.003095975
 101.500000000	 0.003309491
 102.500000000	 0.003523006
 103.500000000	 0.003309491
 104.500000000	 0.003843280
 105.500000000	 0.003629764
 106.500000000	 0.004163553
 107.500000000	 0.005124373
 108.500000000	 0.004697342
 109.500000000	 0.003629764
 110.500000000	 0.003950037
 111.500000000	 0.004270311
 112.500000000	 0.003843280
 113.500000000	 0.004590584
 114.500000000	 0.004483826
 115.500000000	 0.004483826
 116.500000000	 0.004377068
 117.500000000	 0.004270311
 118.500000000	 0.005444646
 119.500000000	 0.003950037
 120.500000000	 0.004697342
 121.500000000	 0.004910857
 122.500000000	 0.003523006
 123.500000000	 0.004483826
 124.500000000	 0.004056795
 125.500000000	 0.005978435
 126.500000000	 0.005764919
 127.500000000	 0.005444646
 128.500000000	 0.004910857
 129.500000000	 0.004804099
 130.500000000	 0.005017615
 131.500000000	 0.005658162
 132.500000000	 0.006191950
 133.500000000	 0.004590584
 134.500000000	 0.004804099
 135.500000000	 0.005764919
 136.500000000	 0.004056795
 137.500000000	 0.006939255
 138.500000000	 0.005017615
 139.500000000	 0.006298708
 140.500000000	 0.007259528
 141.500000000	 0.004804099
 142.500000000	 0.006085193
 143.500000000	 0.005337888
 144.500000000	 0.005978435
 145.500000000	 0.006618982
 146.500000000	 0.006832497
 147.500000000	 0.006725739
 148.500000000	 0.004377068
 149.500000000	 0.007366286
 150.500000000	 0.007579801
 151.500000000	 0.006298708
