#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.000854062
 1.500000000	 0.000640547
 2.500000000	 0.001708124
 3.500000000	 0.001174335
 4.500000000	 0.002028398
 5.500000000	 0.001814882
 6.500000000	 0.002028398
 7.500000000	 0.002989217
 8.500000000	 0.002348671
 9.500000000	 0.002455429
 10.500000000	 0.002775702
 11.500000000	 0.002241913
 12.500000000	 0.002028398
 13.500000000	 0.003736522
 14.500000000	 0.003416249
 15.500000000	 0.004163553
 16.500000000	 0.003950037
 17.500000000	 0.004056795
 18.500000000	 0.004377068
 19.500000000	 0.002775702
 20.500000000	 0.003843280
 21.500000000	 0.005124373
 22.500000000	 0.003950037
 23.500000000	 0.005124373
 24.500000000	 0.004590584
 25.500000000	 0.006512224
 26.500000000	 0.005764919
 27.500000000	 0.004056795
 28.500000000	 0.005658162
 29.500000000	 0.004697342
 30.500000000	 0.006512224
 31.500000000	 0.006191950
 32.500000000	 0.005124373
 33.500000000	 0.007579801
 34.500000000	 0.006085193
 35.500000000	 0.005764919
 36.500000000	 0.007473044
 37.500000000	 0.007366286
 38.500000000	 0.008433864
 39.500000000	 0.007686559
 40.500000000	 0.008433864
 41.500000000	 0.008433864
 42.500000000	 0.008327106
 43.500000000	 0.008860895
 44.500000000	 0.007046013
 45.500000000	 0.008967652
 46.500000000	 0.009608199
 47.500000000	 0.010141988
 48.500000000	 0.008860895
 49.500000000	 0.007579801
 50.500000000	 0.010355503
 51.500000000	 0.008647379
 52.500000000	 0.009074410
 53.500000000	 0.011636597
 54.500000000	 0.008967652
 55.500000000	 0.011636597
 56.500000000	 0.010462261
 57.500000000	 0.011529839
 58.500000000	 0.012170385
 59.500000000	 0.010569019
 60.500000000	 0.010355503
 61.500000000	 0.013558236
 62.500000000	 0.010782534
 63.500000000	 0.012704174
 64.500000000	 0.010248746
 65.500000000	 0.012277143
 66.500000000	 0.009821715
 67.500000000	 0.012917690
 68.500000000	 0.013985267
 69.500000000	 0.011743354
 70.500000000	 0.011850112
 71.500000000	 0.009821715
 72.500000000	 0.012383901
 73.500000000	 0.012490659
 74.500000000	 0.012277143
 75.500000000	 0.013237963
 76.500000000	 0.013664994
 77.500000000	 0.013344721
 78.500000000	 0.010996050
 79.500000000	 0.014839330
 80.500000000	 0.011956870
 81.500000000	 0.010782534
 82.500000000	 0.012704174
 83.500000000	 0.010996050
 84.500000000	 0.012063628
 85.500000000	 0.012383901
 86.500000000	 0.012277143
 87.500000000	 0.011956870
 88.500000000	 0.012063628
 89.500000000	 0.011956870
 90.500000000	 0.012277143
 91.500000000	 0.013344721
 92.500000000	 0.009074410
 93.500000000	 0.010035230
 94.500000000	 0.010462261
 95.500000000	 0.012383901
 96.500000000	 0.010248746
 97.500000000	 0.010248746
 98.500000000	 0.011529839
 99.500000000	 0.009501441
 100.500000000	 0.009608199
 101.500000000	 0.008647379
 102.500000000	 0.008967652
 103.500000000	 0.007579801
 104.500000000	 0.009394683
 105.500000000	 0.007366286
 106.500000000	 0.006618982
 107.500000000	 0.005551404
 108.500000000	 0.007152770
 109.500000000	 0.005764919
 110.500000000	 0.007152770
 111.500000000	 0.006832497
 112.500000000	 0.007259528
 113.500000000	 0.006298708
 114.500000000	 0.006298708
 115.500000000	 0.006085193
 116.500000000	 0.005124373
 117.500000000	 0.005871677
 118.500000000	 0.005551404
 119.500000000	 0.004270311
 120.500000000	 0.004910857
 121.500000000	 0.004163553
 122.500000000	 0.004056795
 123.500000000	 0.003950037
 124.500000000	 0.002348671
 125.500000000	 0.003309491
 126.500000000	 0.003523006
 127.500000000	 0.002882460
 128.500000000	 0.002135155
 129.500000000	 0.002455429
 130.500000000	 0.002241913
 131.500000000	 0.002028398
 132.500000000	 0.002241913
 133.500000000	 0.002135155
 134.500000000	 0.001387851
 135.500000000	 0.001387851
 136.500000000	 0.001174335
 137.500000000	 0.001281093
 138.500000000	 0.001067578
 139.500000000	 0.001494609
 140.500000000	 0.000960820
 141.500000000	 0.001067578
 142.500000000	 0.000960820
 143.500000000	 0.000640547
 144.500000000	 0.000427031
 145.500000000	 0.000640547
 146.500000000	 0.000320273
 147.500000000	 0.000533789
 148.500000000	 0.000106758
 149.500000000	 0.000106758
 150.500000000	 0.000213516
 151.500000000	 0.000320273
 152.500000000	 0.000320273
 153.500000000	 0.000106758
 154.500000000	 0.000106758
 155.500000000	 0.000106758
 156.500000000	 0.000000000
 157.500000000	 0.000533789
 158.500000000	 0.000320273
 159.500000000	 0.000000000
 160.500000000	 0.000106758
 161.500000000	 0.000000000
 162.500000000	 0.000000000
 163.500000000	 0.000106758
 164.500000000	 0.000106758
 165.500000000	 0.000000000
 166.500000000	 0.000000000
 167.500000000	 0.000106758
 168.500000000	 0.000000000
 169.500000000	 0.000000000
 170.500000000	 0.000000000
 171.500000000	 0.000000000
 172.500000000	 0.000000000
 173.500000000	 0.000000000
 174.500000000	 0.000106758
