#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.000213516
 1.500000000	 0.000747304
 2.500000000	 0.000960820
 3.500000000	 0.000747304
 4.500000000	 0.000854062
 5.500000000	 0.001174335
 6.500000000	 0.001281093
 7.500000000	 0.002028398
 8.500000000	 0.001387851
 9.500000000	 0.001067578
 10.500000000	 0.001921640
 11.500000000	 0.001601366
 12.500000000	 0.001067578
 13.500000000	 0.002241913
 14.500000000	 0.002028398
 15.500000000	 0.002455429
 16.500000000	 0.002241913
 17.500000000	 0.002348671
 18.500000000	 0.001921640
 19.500000000	 0.002135155
 20.500000000	 0.002668944
 21.500000000	 0.002668944
 22.500000000	 0.002882460
 23.500000000	 0.002775702
 24.500000000	 0.001921640
 25.500000000	 0.003309491
 26.500000000	 0.002775702
 27.500000000	 0.002775702
 28.500000000	 0.001814882
 29.500000000	 0.003416249
 30.500000000	 0.003202733
 31.500000000	 0.003202733
 32.500000000	 0.004163553
 33.500000000	 0.003416249
 34.500000000	 0.002241913
 35.500000000	 0.003416249
 36.500000000	 0.003629764
 37.500000000	 0.003950037
 38.500000000	 0.003950037
 39.500000000	 0.003202733
 40.500000000	 0.004056795
 41.500000000	 0.003095975
 42.500000000	 0.004056795
 43.500000000	 0.006298708
 44.500000000	 0.004163553
 45.500000000	 0.004483826
 46.500000000	 0.005764919
 47.500000000	 0.004377068
 48.500000000	 0.005551404
 49.500000000	 0.005551404
 50.500000000	 0.004910857
 51.500000000	 0.004804099
 52.500000000	 0.006085193
 53.500000000	 0.005017615
 54.500000000	 0.006725739
 55.500000000	 0.005231131
 56.500000000	 0.006939255
 57.500000000	 0.005231131
 58.500000000	 0.005231131
 59.500000000	 0.007686559
 60.500000000	 0.006618982
 61.500000000	 0.007046013
 62.500000000	 0.006939255
 63.500000000	 0.006512224
 64.500000000	 0.008220348
 65.500000000	 0.005978435
 66.500000000	 0.007046013
 67.500000000	 0.006085193
 68.500000000	 0.006939255
 69.500000000	 0.007152770
 70.500000000	 0.008113590
 71.500000000	 0.007046013
 72.500000000	 0.007579801
 73.500000000	 0.009181168
 74.500000000	 0.006939255
 75.500000000	 0.009501441
 76.500000000	 0.007366286
 77.500000000	 0.009714957
 78.500000000	 0.007793317
 79.500000000	 0.008647379
 80.500000000	 0.009394683
 81.500000000	 0.008113590
 82.500000000	 0.008647379
 83.500000000	 0.007686559
 84.500000000	 0.010889292
 85.500000000	 0.009287926
 86.500000000	 0.009821715
 87.500000000	 0.008113590
 88.500000000	 0.010569019
 89.500000000	 0.010782534
 90.500000000	 0.009821715
 91.500000000	 0.010248746
 92.500000000	 0.010996050
 93.500000000	 0.010675777
 94.500000000	 0.010462261
 95.500000000	 0.009608199
 96.500000000	 0.010782534
 97.500000000	 0.011209565
 98.500000000	 0.011316323
 99.500000000	 0.009181168
 100.500000000	 0.010035230
 101.500000000	 0.011529839
 102.500000000	 0.011423081
 103.500000000	 0.009821715
 104.500000000	 0.008967652
 105.500000000	 0.009928472
 106.500000000	 0.010141988
 107.500000000	 0.009821715
 108.500000000	 0.010462261
 109.500000000	 0.008433864
 110.500000000	 0.010248746
 111.500000000	 0.010248746
 112.500000000	 0.009074410
 113.500000000	 0.011529839
 114.500000000	 0.007793317
 115.500000000	 0.009821715
 116.500000000	 0.011956870
 117.500000000	 0.009181168
 118.500000000	 0.009074410
 119.500000000	 0.010141988
 120.500000000	 0.010035230
 121.500000000	 0.009181168
 122.500000000	 0.009821715
 123.500000000	 0.008967652
 124.500000000	 0.007473044
 125.500000000	 0.008967652
 126.500000000	 0.009074410
 127.500000000	 0.007900075
 128.500000000	 0.008860895
 129.500000000	 0.008754137
 130.500000000	 0.008113590
 131.500000000	 0.008540621
 132.500000000	 0.008006832
 133.500000000	 0.006191950
 134.500000000	 0.006298708
 135.500000000	 0.006512224
 136.500000000	 0.008754137
 137.500000000	 0.007366286
 138.500000000	 0.007259528
 139.500000000	 0.007152770
 140.500000000	 0.006618982
 141.500000000	 0.007152770
 142.500000000	 0.006618982
 143.500000000	 0.005337888
 144.500000000	 0.005764919
 145.500000000	 0.004804099
 146.500000000	 0.004697342
 147.500000000	 0.004804099
 148.500000000	 0.004163553
 149.500000000	 0.004377068
 150.500000000	 0.004056795
 151.500000000	 0.004163553
 152.500000000	 0.003629764
 153.500000000	 0.003950037
 154.500000000	 0.004270311
 155.500000000	 0.002882460
 156.500000000	 0.003416249
 157.500000000	 0.002241913
 158.500000000	 0.003309491
 159.500000000	 0.002241913
 160.500000000	 0.003095975
 161.500000000	 0.002668944
 162.500000000	 0.002028398
 163.500000000	 0.001814882
 164.500000000	 0.002775702
 165.500000000	 0.002348671
 166.500000000	 0.001601366
 167.500000000	 0.002668944
 168.500000000	 0.001067578
 169.500000000	 0.001921640
 170.500000000	 0.001814882
 171.500000000	 0.001921640
 172.500000000	 0.001814882
 173.500000000	 0.000640547
 174.500000000	 0.001387851
 175.500000000	 0.000960820
 176.500000000	 0.001174335
 177.500000000	 0.001281093
 178.500000000	 0.000747304
 179.500000000	 0.000320273
 180.500000000	 0.000747304
 181.500000000	 0.000960820
 182.500000000	 0.000747304
 183.500000000	 0.000427031
 184.500000000	 0.000320273
 185.500000000	 0.000320273
 186.500000000	 0.000213516
 187.500000000	 0.000320273
 188.500000000	 0.000320273
 189.500000000	 0.000213516
 190.500000000	 0.000427031
 191.500000000	 0.000106758
 192.500000000	 0.000213516
 193.500000000	 0.000106758
 194.500000000	 0.000106758
 195.500000000	 0.000213516
 196.500000000	 0.000106758
 197.500000000	 0.000000000
 198.500000000	 0.000213516
 199.500000000	 0.000106758
 200.500000000	 0.000106758
 201.500000000	 0.000106758
 202.500000000	 0.000213516
 203.500000000	 0.000000000
 204.500000000	 0.000000000
 205.500000000	 0.000000000
 206.500000000	 0.000106758
 207.500000000	 0.000000000
 208.500000000	 0.000000000
 209.500000000	 0.000000000
 210.500000000	 0.000106758
 211.500000000	 0.000000000
 212.500000000	 0.000106758
