#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.000106758
 1.500000000	 0.000000000
 2.500000000	 0.000320273
 3.500000000	 0.000320273
 4.500000000	 0.000106758
 5.500000000	 0.000213516
 6.500000000	 0.000106758
 7.500000000	 0.000427031
 8.500000000	 0.000213516
 9.500000000	 0.000320273
 10.500000000	 0.000854062
 11.500000000	 0.000427031
 12.500000000	 0.000854062
 13.500000000	 0.000213516
 14.500000000	 0.000533789
 15.500000000	 0.001067578
 16.500000000	 0.000640547
 17.500000000	 0.000213516
 18.500000000	 0.000640547
 19.500000000	 0.000427031
 20.500000000	 0.000747304
 21.500000000	 0.000213516
 22.500000000	 0.000533789
 23.500000000	 0.000427031
 24.500000000	 0.000320273
 25.500000000	 0.000854062
 26.500000000	 0.000533789
 27.500000000	 0.000747304
 28.500000000	 0.000960820
 29.500000000	 0.000427031
 30.500000000	 0.000854062
 31.500000000	 0.000213516
 32.500000000	 0.000533789
 33.500000000	 0.000533789
 34.500000000	 0.000533789
 35.500000000	 0.001067578
 36.500000000	 0.001067578
 37.500000000	 0.000427031
 38.500000000	 0.000854062
 39.500000000	 0.001281093
 40.500000000	 0.000960820
 41.500000000	 0.000640547
 42.500000000	 0.000854062
 43.500000000	 0.000640547
 44.500000000	 0.000106758
 45.500000000	 0.000747304
 46.500000000	 0.000854062
 47.500000000	 0.000747304
 48.500000000	 0.001281093
 49.500000000	 0.001067578
 50.500000000	 0.000533789
 51.500000000	 0.001067578
 52.500000000	 0.001067578
 53.500000000	 0.000747304
 54.500000000	 0.000747304
 55.500000000	 0.001067578
 56.500000000	 0.000854062
 57.500000000	 0.001067578
 58.500000000	 0.000960820
 59.500000000	 0.001174335
 60.500000000	 0.001067578
 61.500000000	 0.001174335
 62.500000000	 0.001174335
 63.500000000	 0.000854062
 64.500000000	 0.001494609
 65.500000000	 0.001601366
 66.500000000	 0.000960820
 67.500000000	 0.000960820
 68.500000000	 0.001174335
 69.500000000	 0.002028398
 70.500000000	 0.001494609
 71.500000000	 0.000640547
 72.500000000	 0.000747304
 73.500000000	 0.002241913
 74.500000000	 0.002135155
 75.500000000	 0.002135155
 76.500000000	 0.001067578
 77.500000000	 0.001814882
 78.500000000	 0.001708124
 79.500000000	 0.001601366
 80.500000000	 0.001601366
 81.500000000	 0.001174335
 82.500000000	 0.001067578
 83.500000000	 0.002028398
 84.500000000	 0.001814882
 85.500000000	 0.002135155
 86.500000000	 0.001067578
 87.500000000	 0.002028398
 88.500000000	 0.001601366
 89.500000000	 0.001494609
 90.500000000	 0.001174335
 91.500000000	 0.002241913
 92.500000000	 0.002028398
 93.500000000	 0.002348671
 94.500000000	 0.001494609
 95.500000000	 0.001814882
 96.500000000	 0.002028398
 97.500000000	 0.001814882
 98.500000000	 0.002348671
 99.500000000	 0.002882460
 100.500000000	 0.002348671
 101.500000000	 0.001921640
 102.500000000	 0.001814882
 103.500000000	 0.002562186
 104.500000000	 0.002455429
 105.500000000	 0.002775702
 106.500000000	 0.002562186
 107.500000000	 0.002455429
 108.500000000	 0.003095975
 109.500000000	 0.002028398
 110.500000000	 0.002028398
 111.500000000	 0.002241913
 112.500000000	 0.003843280
 113.500000000	 0.003202733
 114.500000000	 0.003202733
 115.500000000	 0.002775702
 116.500000000	 0.002775702
 117.500000000	 0.002882460
 118.500000000	 0.003523006
 119.500000000	 0.002348671
 120.500000000	 0.003416249
 121.500000000	 0.003736522
 122.500000000	 0.003309491
 123.500000000	 0.002775702
 124.500000000	 0.004377068
 125.500000000	 0.002989217
 126.500000000	 0.002989217
 127.500000000	 0.003095975
 128.500000000	 0.002455429
 129.500000000	 0.003309491
 130.500000000	 0.003629764
 131.500000000	 0.003629764
 132.500000000	 0.004590584
 133.500000000	 0.005017615
 134.500000000	 0.004056795
 135.500000000	 0.003416249
 136.500000000	 0.003629764
 137.500000000	 0.003736522
 138.500000000	 0.005444646
 139.500000000	 0.004804099
 140.500000000	 0.004697342
 141.500000000	 0.004910857
 142.500000000	 0.005124373
 143.500000000	 0.005978435
 144.500000000	 0.003843280
 145.500000000	 0.004056795
 146.500000000	 0.004910857
 147.500000000	 0.003629764
 148.500000000	 0.004483826
 149.500000000	 0.004056795
 150.500000000	 0.004697342
 151.500000000	 0.006298708
 152.500000000	 0.005017615
 153.500000000	 0.004910857
 154.500000000	 0.005124373
 155.500000000	 0.004163553
 156.500000000	 0.004804099
 157.500000000	 0.006085193
 158.500000000	 0.005551404
 159.500000000	 0.004697342
 160.500000000	 0.005231131
 161.500000000	 0.004804099
 162.500000000	 0.005444646
 163.500000000	 0.006618982
